,cell144_HeLa_,cell79_HeLa_,cell496_HAP1_,cell469_HAP1_,cell315_HeLa_,cell602_K562_,cell617_GM12878_,cell603_GM12878_,cell535_K562_,cell562_GM12878_,cell200_HAP1_,cell500_K562_
cell144_HeLa_,0.0,0.041534299681056625,0.04124003397458551,0.036489702658713416,0.022761723021259315,0.02942149321317585,0.046966894175411056,0.02964346716288879,0.03030653846256611,0.029514660048894623,0.029146152205895746,0.03499641962030082
cell79_HeLa_,0.041534299681056625,0.0,0.06624297865436163,0.04067874060700376,0.0398046038431513,0.05407277075702906,0.0421984536502759,0.051784152932995625,0.041838355045155665,0.04384473085940077,0.05649330194930801,0.03938162206186398
cell496_HAP1_,0.04124003397458551,0.06624297865436163,0.0,0.0544628535263387,0.048054756173603094,0.03383854250868841,0.06678755630108527,0.044130661972094594,0.04947456800606532,0.03600387456527497,0.03251735382077591,0.06704781346804291
cell469_HAP1_,0.036489702658713416,0.04067874060700376,0.0544628535263387,0.0,0.03076945776457632,0.04168032732629588,0.03392759659388922,0.040861389452729796,0.033077392099410546,0.03761631516595242,0.045795221146028506,0.027827304271866388
cell315_HeLa_,0.022761723021259315,0.0398046038431513,0.048054756173603094,0.03076945776457632,0.0,0.031959823047417346,0.04165062372926717,0.0352261239396628,0.030731459902093382,0.0313711312218589,0.03413889081123471,0.030219122994766836
cell602_K562_,0.02942149321317585,0.05407277075702906,0.03383854250868841,0.04168032732629588,0.031959823047417346,0.0,0.05117256894085837,0.034823729377955366,0.03509298504160054,0.028038915354331173,0.02807867178736314,0.043870400357969366
cell617_GM12878_,0.046966894175411056,0.0421984536502759,0.06678755630108527,0.03392759659388922,0.04165062372926717,0.05117256894085837,0.0,0.04949030169181881,0.03884342036731368,0.048948686635896646,0.05831550455868156,0.028795033100814955
cell603_GM12878_,0.02964346716288879,0.051784152932995625,0.044130661972094594,0.040861389452729796,0.0352261239396628,0.034823729377955366,0.04949030169181881,0.0,0.039057997470572814,0.03364498884796788,0.037139006431656546,0.04057080594309117
cell535_K562_,0.03030653846256611,0.041838355045155665,0.04947456800606532,0.033077392099410546,0.030731459902093382,0.03509298504160054,0.03884342036731368,0.039057997470572814,0.0,0.03384961961877289,0.03987257760150368,0.026891076251143925
cell562_GM12878_,0.029514660048894623,0.04384473085940077,0.03600387456527497,0.03761631516595242,0.0313711312218589,0.028038915354331173,0.048948686635896646,0.03364498884796788,0.03384961961877289,0.0,0.0322852275951475,0.04279611595296323
cell200_HAP1_,0.029146152205895746,0.05649330194930801,0.03251735382077591,0.045795221146028506,0.03413889081123471,0.02807867178736314,0.05831550455868156,0.037139006431656546,0.03987257760150368,0.0322852275951475,0.0,0.051826013140832475
cell500_K562_,0.03499641962030082,0.03938162206186398,0.06704781346804291,0.027827304271866388,0.030219122994766836,0.043870400357969366,0.028795033100814955,0.04057080594309117,0.026891076251143925,0.04279611595296323,0.051826013140832475,0.0
