,cell144_HeLa_,cell79_HeLa_,cell496_HAP1_,cell469_HAP1_,cell315_HeLa_,cell602_K562_,cell617_GM12878_,cell603_GM12878_,cell535_K562_,cell562_GM12878_,cell200_HAP1_,cell500_K562_
cell144_HeLa_,0.0,252.49635583218213,215.5224707487324,189.9972569593906,108.74427057362024,143.47887138904588,282.8591140987681,134.28156536680905,159.80957113947733,144.02141441848937,141.98070621398597,237.16948731868987
cell79_HeLa_,252.49635583218213,0.0,416.2439812410413,188.70344431004216,191.82573483205465,335.29536243672163,187.33081216794815,286.0876762630571,223.39728729288584,253.7785154038865,340.5759839193245,199.0334587499139
cell496_HAP1_,215.5224707487324,416.2439812410413,0.0,319.94663565049416,261.56633436849086,136.89280964341853,401.23310795244737,238.890138704846,280.00422341759264,151.26030434975627,132.41120927649806,447.1612328109401
cell469_HAP1_,189.9972569593906,188.70344431004216,319.94663565049416,0.0,142.83170102960116,230.50956568752719,153.86067117324544,214.72910152443472,178.90857058436683,204.2977521008565,261.43227089575964,139.33225669080707
cell315_HeLa_,108.74427057362024,191.82573483205465,261.56633436849086,142.83170102960116,0.0,165.54280406838873,199.95829809351102,151.23549491059808,144.04121144456477,157.54350159579081,172.95854587908053,167.79474723042392
cell602_K562_,143.47887138904588,335.29536243672163,136.89280964341853,230.50956568752719,165.54280406838873,0.0,305.78649302010194,168.1077584290615,182.4076951298494,116.99242662116674,123.87266886288566,296.00775672813245
cell617_GM12878_,282.8591140987681,187.33081216794815,401.23310795244737,153.86067117324544,199.95829809351102,305.78649302010194,0.0,275.52754460626494,190.5160157763503,277.15515885814324,343.08834843809854,133.7859529219042
cell603_GM12878_,134.28156536680905,286.0876762630571,238.890138704846,214.72910152443472,151.23549491059808,168.1077584290615,275.52754460626494,0.0,192.8212036096791,150.92376704925073,186.24307245772036,236.319286143454
cell535_K562_,159.80957113947733,223.39728729288584,280.00422341759264,178.90857058436683,144.04121144456477,182.4076951298494,190.5160157763503,192.8212036096791,0.0,170.55984342858048,205.86635028812788,151.39217550799793
cell562_GM12878_,144.02141441848937,253.7785154038865,151.26030434975627,204.2977521008565,157.54350159579081,116.99242662116674,277.15515885814324,150.92376704925073,170.55984342858048,0.0,125.3022751302561,276.6822416100604
cell200_HAP1_,141.98070621398597,340.5759839193245,132.41120927649806,261.43227089575964,172.95854587908053,123.87266886288566,343.08834843809854,186.24307245772036,205.86635028812788,125.3022751302561,0.0,335.9419122589599
cell500_K562_,237.16948731868987,199.0334587499139,447.1612328109401,139.33225669080707,167.79474723042392,296.00775672813245,133.7859529219042,236.319286143454,151.39217550799793,276.6822416100604,335.9419122589599,0.0
