,cell144_HeLa_,cell79_HeLa_,cell496_HAP1_,cell469_HAP1_,cell315_HeLa_,cell602_K562_,cell617_GM12878_,cell603_GM12878_,cell535_K562_,cell562_GM12878_,cell200_HAP1_,cell500_K562_
cell144_HeLa_,0.0,7.079591783833443,6.065606977842512,6.396950191834067,4.458593429322596,4.746637257801472,7.7276736870266545,5.443962936695004,5.435178634401541,5.177317729320075,4.742508634497158,5.583858962489706
cell79_HeLa_,7.079591783833443,0.0,8.514128804601688,8.3943510686521,7.76002658789131,7.696053288933847,8.53871086826798,9.019908588614019,7.678318869947386,6.780084563518914,8.209050890353712,8.519530051822507
cell496_HAP1_,6.065606977842512,8.514128804601688,0.0,7.0055328738087415,6.84566695466896,4.982679625648041,8.329040609854584,6.606150839077166,6.873756891848718,5.239348195271331,4.961971484708306,7.9710956329737455
cell469_HAP1_,6.396950191834067,8.3943510686521,7.0055328738087415,0.0,5.892672789823127,6.10628714981696,7.007555158930279,7.514023338956095,6.043264639797917,5.9323572130757665,6.458596126092502,5.846870371653769
cell315_HeLa_,4.458593429322596,7.76002658789131,6.84566695466896,5.892672789823127,0.0,5.23563496231744,7.78408347832689,6.828040779284411,6.039551569179855,5.610912569933758,5.501453057230144,5.668386972746664
cell602_K562_,4.746637257801472,7.696053288933847,4.982679625648041,6.10628714981696,5.23563496231744,0.0,6.918450696215735,5.8070048713162965,5.62910827057185,4.592193115002367,4.474740853082427,5.7923978327503605
cell617_GM12878_,7.7276736870266545,8.53871086826798,8.329040609854584,7.007555158930279,7.78408347832689,6.918450696215735,0.0,8.40672948655094,7.124752473836158,7.277417997162354,8.01875725940614,6.184308563086093
cell603_GM12878_,5.443962936695004,9.019908588614019,6.606150839077166,7.514023338956095,6.828040779284411,5.8070048713162965,8.40672948655094,0.0,7.183170106286305,5.866211148431358,6.0829141466670364,7.250544044027777
cell535_K562_,5.435178634401541,7.678318869947386,6.873756891848718,6.043264639797917,6.039551569179855,5.62910827057185,7.124752473836158,7.183170106286305,0.0,5.576266331646108,6.058815454471046,4.912049984760234
cell562_GM12878_,5.177317729320075,6.780084563518914,5.239348195271331,5.9323572130757665,5.610912569933758,4.592193115002367,7.277417997162354,5.866211148431358,5.576266331646108,0.0,5.207826091667633,6.533323835067293
cell200_HAP1_,4.742508634497158,8.209050890353712,4.961971484708306,6.458596126092502,5.501453057230144,4.474740853082427,8.01875725940614,6.0829141466670364,6.058815454471046,5.207826091667633,0.0,6.921795372322208
cell500_K562_,5.583858962489706,8.519530051822507,7.9710956329737455,5.846870371653769,5.668386972746664,5.7923978327503605,6.184308563086093,7.250544044027777,4.912049984760234,6.533323835067293,6.921795372322208,0.0
