,cell144_HeLa_,cell79_HeLa_,cell496_HAP1_,cell469_HAP1_,cell315_HeLa_,cell602_K562_,cell617_GM12878_,cell603_GM12878_,cell535_K562_,cell562_GM12878_,cell200_HAP1_,cell500_K562_
cell144_HeLa_,0.0,4.153429968105662,4.124003397458552,3.648970265871344,2.276172302125932,2.9421493213175856,4.696689417541107,2.9643467162888797,3.030653846256612,2.9514660048894634,2.9146152205895755,3.4996419620300823
cell79_HeLa_,4.153429968105662,0.0,6.624297865436162,4.067874060700378,3.98046038431513,5.407277075702907,4.21984536502759,5.178415293299563,4.183835504515568,4.384473085940078,5.649330194930801,3.938162206186398
cell496_HAP1_,4.124003397458552,6.624297865436162,0.0,5.446285352633872,4.805475617360308,3.383854250868841,6.678755630108528,4.413066197209459,4.947456800606532,3.600387456527498,3.251735382077592,6.70478134680429
cell469_HAP1_,3.648970265871344,4.067874060700378,5.446285352633872,0.0,3.0769457764576327,4.16803273262959,3.392759659388923,4.086138945272981,3.307739209941056,3.7616315165952434,4.579522114602852,2.7827304271866393
cell315_HeLa_,2.276172302125932,3.98046038431513,4.805475617360308,3.0769457764576327,0.0,3.1959823047417357,4.165062372926718,3.5226123939662797,3.073145990209339,3.1371131221858897,3.413889081123474,3.0219122994766834
cell602_K562_,2.9421493213175856,5.407277075702907,3.383854250868841,4.16803273262959,3.1959823047417357,0.0,5.117256894085836,3.482372937795538,3.5092985041600544,2.8038915354331175,2.8078671787363154,4.387040035796936
cell617_GM12878_,4.696689417541107,4.21984536502759,6.678755630108528,3.392759659388923,4.165062372926718,5.117256894085836,0.0,4.949030169181882,3.8843420367313684,4.894868663589666,5.831550455868156,2.879503310081496
cell603_GM12878_,2.9643467162888797,5.178415293299563,4.413066197209459,4.086138945272981,3.5226123939662797,3.482372937795538,4.949030169181882,0.0,3.9057997470572827,3.364498884796788,3.7139006431656547,4.057080594309117
cell535_K562_,3.030653846256612,4.183835504515568,4.947456800606532,3.307739209941056,3.073145990209339,3.5092985041600544,3.8843420367313684,3.9057997470572827,0.0,3.3849619618772904,3.9872577601503663,2.689107625114392
cell562_GM12878_,2.9514660048894634,4.384473085940078,3.600387456527498,3.7616315165952434,3.1371131221858897,2.8038915354331175,4.894868663589666,3.364498884796788,3.3849619618772904,0.0,3.2285227595147514,4.279611595296323
cell200_HAP1_,2.9146152205895755,5.649330194930801,3.251735382077592,4.579522114602852,3.413889081123474,2.8078671787363154,5.831550455868156,3.7139006431656547,3.9872577601503663,3.2285227595147514,0.0,5.1826013140832465
cell500_K562_,3.4996419620300823,3.938162206186398,6.70478134680429,2.7827304271866393,3.0219122994766834,4.387040035796936,2.879503310081496,4.057080594309117,2.689107625114392,4.279611595296323,5.1826013140832465,0.0
