,GSE152918_G,GSE152918_MEP,GSE152918_MKP,GSE152918_GMP,GSE152918_MK,GSE152918_MPP,GSE152918_CMP,GSE152918_ST,GSE152918_LT,GSE152918_CLP
GSE152918_G,0.9998389434691577,0.6941328976928663,0.7069211837493121,0.7041324583882085,0.7294413927400426,0.600578173918837,0.6642292675974705,0.6447742494202628,0.6391934377542656,0.6708405568743513
GSE152918_MEP,0.6941328976928663,0.9999999999999999,0.7670959010860048,0.6871104667473401,0.6722059409495897,0.5855966755245358,0.6968458554712869,0.6567203171974422,0.693530232393684,0.6660020232561032
GSE152918_MKP,0.7069211837493121,0.7670959010860048,0.9999999999999999,0.8580597450163151,0.8000571766765658,0.829800157923695,0.877022972146317,0.908697473899095,0.8947205982867914,0.8664521510454668
GSE152918_GMP,0.7041324583882085,0.6871104667473401,0.8580597450163151,1.0,0.770789209331844,0.8170044036725705,0.8332533313960423,0.8564015647548243,0.797286216589216,0.8275270210917413
GSE152918_MK,0.7294413927400426,0.6722059409495897,0.8000571766765658,0.770789209331844,0.9998383272256953,0.7231867516854124,0.7601055826478694,0.7788806414027443,0.7428121566599458,0.7328010608036298
GSE152918_MPP,0.600578173918837,0.5855966755245358,0.829800157923695,0.8170044036725705,0.7231867516854124,0.9999999999999999,0.8074335725149983,0.8884820406482117,0.8202559674375477,0.8335515329194054
GSE152918_CMP,0.6642292675974705,0.6968458554712869,0.877022972146317,0.8332533313960423,0.7601055826478694,0.8074335725149983,1.0000000000000002,0.8634058911074184,0.8267834172583374,0.8196278515972047
GSE152918_ST,0.6447742494202628,0.6567203171974422,0.908697473899095,0.8564015647548243,0.7788806414027443,0.8884820406482117,0.8634058911074184,1.0000000000000002,0.8974804681831438,0.8655029655611176
GSE152918_LT,0.6391934377542656,0.693530232393684,0.8947205982867914,0.797286216589216,0.7428121566599458,0.8202559674375477,0.8267834172583374,0.8974804681831438,1.0,0.838894291531311
GSE152918_CLP,0.6708405568743513,0.6660020232561032,0.8664521510454668,0.8275270210917413,0.7328010608036298,0.8335515329194054,0.8196278515972047,0.8655029655611176,0.838894291531311,1.0
